"Cluster","Organization","ProjectCode","MONTH","Objective","Priority","Activity","Indicator","Accumulative","Country","Admin1","AnnualTarget","Achieved"
"Education","United Nations Children's Fund","MLI-14/E/65276","June","OBJECTIVE 3","Priority 2: Conflict","Distribution of educational materials for teachers","Number of teachers (men/women) receiving teaching material","NO","Mali","Gao",NA,"35.00"
"Education","United Nations Children's Fund","MLI-14/E/65276","June","OBJECTIVE 3","Priority 2: Conflict","Distribution of educational materials for teachers","Number of teachers (men/women) receiving teaching material","NO","Mali","Sikasso",NA,"319.00"
"Education","United Nations Children's Fund","MLI-14/E/65276","June","OBJECTIVE 3","Priority 2: Conflict","Distribution of educational materials for teachers","Number of teachers (men/women) receiving teaching material","NO","Mali","Tombouctou",NA,"8.00"
"Education","United Nations Children's Fund","MLI-14/E/65276","June","OBJECTIVE 3","Priority 2: Conflict","Train teachers/other educational personnel in life skills and  psycho-social support","Number of male/ female teachers/other educational personnel trained","NO","Mali","Gao",NA,"45.00"
"Education","United Nations Children's Fund","MLI-14/E/65276","June","OBJECTIVE 3","Priority 2: Conflict","Train teachers/other educational personnel in life skills and  psycho-social support","Number of male/ female teachers/other educational personnel trained","NO","Mali","Tombouctou",NA,"350.00"
"Education","United Nations Children's Fund","MLI-14/E/65276","June","OBJECTIVE 3","Priority 2: Conflict","Train teachers/other educational personnel/staff in peace education","Number of male/ female teachers/other educational personnel trained","NO","Mali","Gao",NA,"162.00"
"Education","United Nations Children's Fund","MLI-14/E/65276","June","OBJECTIVE 3","Priority 2: Conflict","Train teachers/other educational personnel/staff in peace education","Number of male/ female teachers/other educational personnel trained","NO","Mali","Tombouctou",NA,"400.00"
"Education","United Nations Children's Fund","MRT-14/E/65748","June","OBJECTIVE 2","Priority 5: Malnutrition","Develop nutrition, hygiene and health modules /support MoE to mainstream nutrition hygiene and health in the curriculum","Number of modules designed and integrated in the curriculum","YES","Mauritania","Assaba","2078","2078.00"
"Education","United Nations Children's Fund","MRT-14/E/65748","June","OBJECTIVE 2","Priority 5: Malnutrition","Develop nutrition, hygiene and health modules /support MoE to mainstream nutrition hygiene and health in the curriculum","Number of modules designed and integrated in the curriculum","YES","Mauritania","Brakna","2088","2088.00"
"Education","United Nations Children's Fund","MRT-14/E/65748","June","OBJECTIVE 2","Priority 5: Malnutrition","Develop nutrition, hygiene and health modules /support MoE to mainstream nutrition hygiene and health in the curriculum","Number of modules designed and integrated in the curriculum","YES","Mauritania","Gorgol","1919","1919.00"
"Education","United Nations Children's Fund","MRT-14/E/65748","June","OBJECTIVE 2","Priority 5: Malnutrition","Develop nutrition, hygiene and health modules /support MoE to mainstream nutrition hygiene and health in the curriculum","Number of modules designed and integrated in the curriculum","YES","Mauritania","Guidimakha","540","540.00"
"Education","United Nations Children's Fund","MRT-14/E/65748","June","OBJECTIVE 2","Priority 5: Malnutrition","Develop nutrition, hygiene and health modules /support MoE to mainstream nutrition hygiene and health in the curriculum","Number of modules designed and integrated in the curriculum","YES","Mauritania","Hodh Ech Chargi","352","352.00"
"Education","United Nations Children's Fund","MRT-14/E/65748","June","OBJECTIVE 2","Priority 5: Malnutrition","Develop nutrition, hygiene and health modules /support MoE to mainstream nutrition hygiene and health in the curriculum","Number of modules designed and integrated in the curriculum","YES","Mauritania","Hodh El Gharbi","1736","1736.00"
"Education","United Nations Children's Fund","MRT-14/E/65748","June","OBJECTIVE 2","Priority 5: Malnutrition","Develop nutrition, hygiene and health modules /support MoE to mainstream nutrition hygiene and health in the curriculum","Number of modules designed and integrated in the curriculum","YES","Mauritania","Tagant","720","720.00"
"Education","United Nations Children's Fund","MRT-14/E/65748","June","OBJECTIVE 2","Priority 5: Malnutrition","Support and build capacities of local stakeholders (traditional leaders, PTAs, parents, etc.) involved in education","# of parents in target areas participating in parenting education activities","NO","Mauritania","Assaba","1240","1255.00"
"Education","United Nations Children's Fund","MRT-14/E/65748","June","OBJECTIVE 2","Priority 5: Malnutrition","Support and build capacities of local stakeholders (traditional leaders, PTAs, parents, etc.) involved in education","# of parents in target areas participating in parenting education activities","NO","Mauritania","Brakna","1492","7546.00"
"Education","United Nations Children's Fund","MRT-14/E/65748","June","OBJECTIVE 2","Priority 5: Malnutrition","Support and build capacities of local stakeholders (traditional leaders, PTAs, parents, etc.) involved in education","# of parents in target areas participating in parenting education activities","NO","Mauritania","Tagant","579","498.00"
"Education","United Nations Children's Fund","MRT-14/E/65748","June","OBJECTIVE 2","Priority 5: Malnutrition","Train teachers/other educational personnel in hygiene promotion","Number of male/female teachers/other educational personnel trained","NO","Mauritania","Assaba","438","185.00"
"Education","United Nations Children's Fund","MRT-14/E/65748","June","OBJECTIVE 2","Priority 5: Malnutrition","Train teachers/other educational personnel in hygiene promotion","Number of male/female teachers/other educational personnel trained","NO","Mauritania","Brakna","526","70.00"
"Education","United Nations Children's Fund","MRT-14/E/65748","June","OBJECTIVE 3","Priority 5: Malnutrition","Implement deworming campaign in school","Number and % of children in the targeted schools who received deworming treatment","NO","Mauritania","Assaba","100","100.00"
"Education","United Nations Children's Fund","MRT-14/E/65748","June","OBJECTIVE 3","Priority 5: Malnutrition","Implement deworming campaign in school","Number and % of children in the targeted schools who received deworming treatment","NO","Mauritania","Brakna","100","100.00"
"Education","United Nations Children's Fund","MRT-14/E/65748","June","OBJECTIVE 3","Priority 5: Malnutrition","Implement deworming campaign in school","Number and % of children in the targeted schools who received deworming treatment","NO","Mauritania","Gorgol","100","100.00"
"Education","United Nations Children's Fund","MRT-14/E/65748","June","OBJECTIVE 3","Priority 5: Malnutrition","Implement deworming campaign in school","Number and % of children in the targeted schools who received deworming treatment","NO","Mauritania","Guidimakha","100","100.00"
"Education","United Nations Children's Fund","MRT-14/E/65748","June","OBJECTIVE 3","Priority 5: Malnutrition","Implement deworming campaign in school","Number and % of children in the targeted schools who received deworming treatment","NO","Mauritania","Hodh Ech Chargi","100","100.00"
"Education","United Nations Children's Fund","MRT-14/E/65748","June","OBJECTIVE 3","Priority 5: Malnutrition","Implement deworming campaign in school","Number and % of children in the targeted schools who received deworming treatment","NO","Mauritania","Hodh El Gharbi","100","100.00"
"Education","United Nations Children's Fund","MRT-14/E/65748","June","OBJECTIVE 3","Priority 5: Malnutrition","Implement deworming campaign in school","Number and % of children in the targeted schools who received deworming treatment","NO","Mauritania","Tagant","100","100.00"
"Food Security","Union des Femmes Rurales Ouest Africaines et du Tchad","BFA-14/ER/65719","February","OBJECTIVE 2","Priority 4: Food insecurity","Protect and rehabilitate / strengthen livelihoods of food insecure households through the distribution of agricultural inputs for irrigated crops (excluding off season gardening)","number of households receiving assistance in agriculture for irrigated crops","NO","Burkina Faso","Centre","500","0.00"
"Food Security","Union des Femmes Rurales Ouest Africaines et du Tchad","BFA-14/ER/65719","February","OBJECTIVE 2","Priority 4: Food insecurity","Protect and rehabilitate / strengthen livelihoods of food insecure households through the distribution of agricultural inputs for irrigated crops (excluding off season gardening)","number of households receiving assistance in agriculture for irrigated crops","NO","Burkina Faso","Centre-Nord","500","0.00"
"Food Security","Union des Femmes Rurales Ouest Africaines et du Tchad","BFA-14/ER/65719","February","OBJECTIVE 2","Priority 4: Food insecurity","Protect and rehabilitate / strengthen livelihoods of food insecure households through the distribution of agricultural inputs for irrigated crops (excluding off season gardening)","number of households receiving assistance in agriculture for irrigated crops","NO","Burkina Faso","Centre-Sud","500","0.00"
"Food Security","Union des Femmes Rurales Ouest Africaines et du Tchad","BFA-14/ER/65719","February","OBJECTIVE 2","Priority 4: Food insecurity","Protect and rehabilitate / strengthen livelihoods of food insecure households through the distribution of agricultural inputs for irrigated crops (excluding off season gardening)","number of households receiving assistance in agriculture for irrigated crops","NO","Burkina Faso","Est","500","0.00"
"Food Security","Union des Femmes Rurales Ouest Africaines et du Tchad","BFA-14/ER/65719","February","OBJECTIVE 2","Priority 4: Food insecurity","Protect and rehabilitate / strengthen livelihoods of food insecure households through the distribution of agricultural inputs for irrigated crops (excluding off season gardening)","number of households receiving assistance in agriculture for irrigated crops","NO","Burkina Faso","Hauts-Bassins","500","0.00"
"Food Security","Union des Femmes Rurales Ouest Africaines et du Tchad","BFA-14/ER/65719","February","OBJECTIVE 2","Priority 4: Food insecurity","Protect and rehabilitate / strengthen livelihoods of food insecure households through the distribution of agricultural inputs for irrigated crops (excluding off season gardening)","number of households receiving assistance in agriculture for irrigated crops","NO","Burkina Faso","Nord","500","0.00"
"Food Security","Union des Femmes Rurales Ouest Africaines et du Tchad","BFA-14/ER/65719","February","OBJECTIVE 2","Priority 4: Food insecurity","Protect livelihoods of food insecure households through the technical capacity building to improve production (pastoral Schools / Farmer field schools ... )","number of people who have increased their technical knowledge in order to improve production","NO","Burkina Faso","Centre","100","0.00"
"Food Security","Union des Femmes Rurales Ouest Africaines et du Tchad","BFA-14/ER/65719","February","OBJECTIVE 2","Priority 4: Food insecurity","Protect livelihoods of food insecure households through the technical capacity building to improve production (pastoral Schools / Farmer field schools ... )","number of people who have increased their technical knowledge in order to improve production","NO","Burkina Faso","Centre-Nord","100","0.00"
"Food Security","Union des Femmes Rurales Ouest Africaines et du Tchad","BFA-14/ER/65719","February","OBJECTIVE 2","Priority 4: Food insecurity","Protect livelihoods of food insecure households through the technical capacity building to improve production (pastoral Schools / Farmer field schools ... )","number of people who have increased their technical knowledge in order to improve production","NO","Burkina Faso","Centre-Sud","100","0.00"
"Food Security","Union des Femmes Rurales Ouest Africaines et du Tchad","BFA-14/ER/65719","February","OBJECTIVE 2","Priority 4: Food insecurity","Protect livelihoods of food insecure households through the technical capacity building to improve production (pastoral Schools / Farmer field schools ... )","number of people who have increased their technical knowledge in order to improve production","NO","Burkina Faso","Est","100","0.00"
"Food Security","Union des Femmes Rurales Ouest Africaines et du Tchad","BFA-14/ER/65719","February","OBJECTIVE 2","Priority 4: Food insecurity","Protect livelihoods of food insecure households through the technical capacity building to improve production (pastoral Schools / Farmer field schools ... )","number of people who have increased their technical knowledge in order to improve production","NO","Burkina Faso","Hauts-Bassins","100","0.00"
"Food Security","Union des Femmes Rurales Ouest Africaines et du Tchad","BFA-14/ER/65719","February","OBJECTIVE 2","Priority 4: Food insecurity","Protect livelihoods of food insecure households through the technical capacity building to improve production (pastoral Schools / Farmer field schools ... )","number of people who have increased their technical knowledge in order to improve production","NO","Burkina Faso","Nord","100","0.00"
"Food Security","Union des Femmes Rurales Ouest Africaines et du Tchad","BFA-14/ER/65719","March","OBJECTIVE 2","Priority 4: Food insecurity","Protect and rehabilitate / strengthen livelihoods of food insecure households through the distribution of agricultural inputs for irrigated crops (excluding off season gardening)","number of households receiving assistance in agriculture for irrigated crops","NO","Burkina Faso","Centre","500","0.00"
