"region","value","period","dsID","source","is_number","indID"
"Tillabery","0.00","2014/07","ocha-ors","http://ors.ocharowca.info/Anonymous/AllDataFeed.ashx",1,"REG.O.UNK.186"
"Banjul","0.00","2014/06","ocha-ors","http://ors.ocharowca.info/Anonymous/AllDataFeed.ashx",1,"REG.O.UNK.005"
"Banjul","0.00","2014/07","ocha-ors","http://ors.ocharowca.info/Anonymous/AllDataFeed.ashx",1,"REG.O.UNK.005"
"Banjul","0.00","2014/07","ocha-ors","http://ors.ocharowca.info/Anonymous/AllDataFeed.ashx",1,"REG.O.UNK.012"
"Banjul","0.00","2014/06","ocha-ors","http://ors.ocharowca.info/Anonymous/AllDataFeed.ashx",1,"REG.O.UNK.012"
"Banjul","0.00","2014/07","ocha-ors","http://ors.ocharowca.info/Anonymous/AllDataFeed.ashx",1,"REG.O.UNK.010"
"Banjul","0.00","2014/06","ocha-ors","http://ors.ocharowca.info/Anonymous/AllDataFeed.ashx",1,"REG.O.UNK.010"
"Banjul","1.00","2014/07","ocha-ors","http://ors.ocharowca.info/Anonymous/AllDataFeed.ashx",1,"REG.O.UNK.011"
"Banjul","1.00","2014/06","ocha-ors","http://ors.ocharowca.info/Anonymous/AllDataFeed.ashx",1,"REG.O.UNK.011"
"Tahoua","0.00","2014/07","ocha-ors","http://ors.ocharowca.info/Anonymous/AllDataFeed.ashx",1,"REG.O.UNK.095"
"Zinder","0.00","2014/07","ocha-ors","http://ors.ocharowca.info/Anonymous/AllDataFeed.ashx",1,"REG.O.UNK.095"
"Niamey","0.00","2014/07","ocha-ors","http://ors.ocharowca.info/Anonymous/AllDataFeed.ashx",1,"REG.O.UNK.095"
"Gao","72.00","2014/06","ocha-ors","http://ors.ocharowca.info/Anonymous/AllDataFeed.ashx",1,"REG.O.UNK.166"
"Bamako","41.00","2014/06","ocha-ors","http://ors.ocharowca.info/Anonymous/AllDataFeed.ashx",1,"REG.O.UNK.166"
"Mopti","32.00","2014/06","ocha-ors","http://ors.ocharowca.info/Anonymous/AllDataFeed.ashx",1,"REG.O.UNK.166"
"Tombouctou","57.00","2014/06","ocha-ors","http://ors.ocharowca.info/Anonymous/AllDataFeed.ashx",1,"REG.O.UNK.166"
"Assaba","100.00","2014/06","ocha-ors","http://ors.ocharowca.info/Anonymous/AllDataFeed.ashx",1,"REG.O.UNK.038"
"Brakna","100.00","2014/06","ocha-ors","http://ors.ocharowca.info/Anonymous/AllDataFeed.ashx",1,"REG.O.UNK.038"
"Gorgol","100.00","2014/06","ocha-ors","http://ors.ocharowca.info/Anonymous/AllDataFeed.ashx",1,"REG.O.UNK.038"
"Guidimakha","100.00","2014/06","ocha-ors","http://ors.ocharowca.info/Anonymous/AllDataFeed.ashx",1,"REG.O.UNK.038"
"Hodh Ech Chargi","100.00","2014/06","ocha-ors","http://ors.ocharowca.info/Anonymous/AllDataFeed.ashx",1,"REG.O.UNK.038"
"Hodh El Gharbi","100.00","2014/06","ocha-ors","http://ors.ocharowca.info/Anonymous/AllDataFeed.ashx",1,"REG.O.UNK.038"
"Tagant","100.00","2014/06","ocha-ors","http://ors.ocharowca.info/Anonymous/AllDataFeed.ashx",1,"REG.O.UNK.038"
"Banjul","0.00","2014/06","ocha-ors","http://ors.ocharowca.info/Anonymous/AllDataFeed.ashx",1,"REG.O.UNK.132"
"Banjul","0.00","2014/07","ocha-ors","http://ors.ocharowca.info/Anonymous/AllDataFeed.ashx",1,"REG.O.UNK.132"
"Banjul","702.00","2014/07","ocha-ors","http://ors.ocharowca.info/Anonymous/AllDataFeed.ashx",1,"REG.O.UNK.130"
"Banjul","702.00","2014/06","ocha-ors","http://ors.ocharowca.info/Anonymous/AllDataFeed.ashx",1,"REG.O.UNK.130"
"Louga","1089.00","2014/02","ocha-ors","http://ors.ocharowca.info/Anonymous/AllDataFeed.ashx",1,"REG.O.UNK.136"
"Kolda","1047.00","2014/02","ocha-ors","http://ors.ocharowca.info/Anonymous/AllDataFeed.ashx",1,"REG.O.UNK.136"
"Sédhiou","520.00","2014/04","ocha-ors","http://ors.ocharowca.info/Anonymous/AllDataFeed.ashx",1,"REG.O.UNK.136"
"Ziguinchor","33.00","2014/02","ocha-ors","http://ors.ocharowca.info/Anonymous/AllDataFeed.ashx",1,"REG.O.UNK.136"
"Kolda","1701.00","2014/01","ocha-ors","http://ors.ocharowca.info/Anonymous/AllDataFeed.ashx",1,"REG.O.UNK.136"
"Banjul","0.00","2014/07","ocha-ors","http://ors.ocharowca.info/Anonymous/AllDataFeed.ashx",1,"REG.O.UNK.136"
"Sédhiou","840.00","2014/01","ocha-ors","http://ors.ocharowca.info/Anonymous/AllDataFeed.ashx",1,"REG.O.UNK.136"
"Kolda","900.00","2014/05","ocha-ors","http://ors.ocharowca.info/Anonymous/AllDataFeed.ashx",1,"REG.O.UNK.136"
"Ziguinchor","80.00","2014/01","ocha-ors","http://ors.ocharowca.info/Anonymous/AllDataFeed.ashx",1,"REG.O.UNK.136"
"Banjul","0.00","2014/06","ocha-ors","http://ors.ocharowca.info/Anonymous/AllDataFeed.ashx",1,"REG.O.UNK.136"
"Kaffrine","0.00","2014/05","ocha-ors","http://ors.ocharowca.info/Anonymous/AllDataFeed.ashx",1,"REG.O.UNK.136"
"Sédhiou","360.00","2014/05","ocha-ors","http://ors.ocharowca.info/Anonymous/AllDataFeed.ashx",1,"REG.O.UNK.136"
"Kaffrine","321.00","2014/01","ocha-ors","http://ors.ocharowca.info/Anonymous/AllDataFeed.ashx",1,"REG.O.UNK.136"
"Kolda","1750.00","2014/03","ocha-ors","http://ors.ocharowca.info/Anonymous/AllDataFeed.ashx",1,"REG.O.UNK.136"
"Ziguinchor","0.00","2014/05","ocha-ors","http://ors.ocharowca.info/Anonymous/AllDataFeed.ashx",1,"REG.O.UNK.136"
"Louga","880.00","2014/01","ocha-ors","http://ors.ocharowca.info/Anonymous/AllDataFeed.ashx",1,"REG.O.UNK.136"
"Ziguinchor","20.00","2014/03","ocha-ors","http://ors.ocharowca.info/Anonymous/AllDataFeed.ashx",1,"REG.O.UNK.136"
"Louga","207.00","2014/05","ocha-ors","http://ors.ocharowca.info/Anonymous/AllDataFeed.ashx",1,"REG.O.UNK.136"
"Sédhiou","512.00","2014/02","ocha-ors","http://ors.ocharowca.info/Anonymous/AllDataFeed.ashx",1,"REG.O.UNK.136"
"Fatick","51.00","2014/05","ocha-ors","http://ors.ocharowca.info/Anonymous/AllDataFeed.ashx",1,"REG.O.UNK.136"
"Fatick","213.00","2014/04","ocha-ors","http://ors.ocharowca.info/Anonymous/AllDataFeed.ashx",1,"REG.O.UNK.136"
"Ziguinchor","31.00","2014/04","ocha-ors","http://ors.ocharowca.info/Anonymous/AllDataFeed.ashx",1,"REG.O.UNK.136"
"Kaffrine","681.00","2014/03","ocha-ors","http://ors.ocharowca.info/Anonymous/AllDataFeed.ashx",1,"REG.O.UNK.136"
"Louga","409.00","2014/04","ocha-ors","http://ors.ocharowca.info/Anonymous/AllDataFeed.ashx",1,"REG.O.UNK.136"
"Fatick","1221.00","2014/03","ocha-ors","http://ors.ocharowca.info/Anonymous/AllDataFeed.ashx",1,"REG.O.UNK.136"
"Louga","880.00","2014/03","ocha-ors","http://ors.ocharowca.info/Anonymous/AllDataFeed.ashx",1,"REG.O.UNK.136"
"Kaffrine","46.00","2014/04","ocha-ors","http://ors.ocharowca.info/Anonymous/AllDataFeed.ashx",1,"REG.O.UNK.136"
"Fatick","377.00","2014/01","ocha-ors","http://ors.ocharowca.info/Anonymous/AllDataFeed.ashx",1,"REG.O.UNK.136"
"Sédhiou","545.00","2014/03","ocha-ors","http://ors.ocharowca.info/Anonymous/AllDataFeed.ashx",1,"REG.O.UNK.136"
"Kolda","1626.00","2014/04","ocha-ors","http://ors.ocharowca.info/Anonymous/AllDataFeed.ashx",1,"REG.O.UNK.136"
"Banjul","0.00","2014/07","ocha-ors","http://ors.ocharowca.info/Anonymous/AllDataFeed.ashx",1,"REG.O.UNK.137"
"Banjul","0.00","2014/06","ocha-ors","http://ors.ocharowca.info/Anonymous/AllDataFeed.ashx",1,"REG.O.UNK.137"
"Thiès","82.00","2014/04","ocha-ors","http://ors.ocharowca.info/Anonymous/AllDataFeed.ashx",1,"REG.O.UNK.143"
"Fatick","30.00","2014/05","ocha-ors","http://ors.ocharowca.info/Anonymous/AllDataFeed.ashx",1,"REG.O.UNK.143"
"Tambacounda","113.00","2014/04","ocha-ors","http://ors.ocharowca.info/Anonymous/AllDataFeed.ashx",1,"REG.O.UNK.143"
"Tambacounda","165.00","2014/02","ocha-ors","http://ors.ocharowca.info/Anonymous/AllDataFeed.ashx",1,"REG.O.UNK.143"
"Kaolack","0.00","2014/03","ocha-ors","http://ors.ocharowca.info/Anonymous/AllDataFeed.ashx",1,"REG.O.UNK.143"
"Kolda","63.00","2014/03","ocha-ors","http://ors.ocharowca.info/Anonymous/AllDataFeed.ashx",1,"REG.O.UNK.143"
"Louga","35.00","2014/03","ocha-ors","http://ors.ocharowca.info/Anonymous/AllDataFeed.ashx",1,"REG.O.UNK.143"
"Matam","120.00","2014/03","ocha-ors","http://ors.ocharowca.info/Anonymous/AllDataFeed.ashx",1,"REG.O.UNK.143"
"Saint-Louis","80.00","2014/02","ocha-ors","http://ors.ocharowca.info/Anonymous/AllDataFeed.ashx",1,"REG.O.UNK.143"
"Sédhiou","18.00","2014/03","ocha-ors","http://ors.ocharowca.info/Anonymous/AllDataFeed.ashx",1,"REG.O.UNK.143"
"Sédhiou","6.00","2014/02","ocha-ors","http://ors.ocharowca.info/Anonymous/AllDataFeed.ashx",1,"REG.O.UNK.143"
"Fatick","32.00","2014/04","ocha-ors","http://ors.ocharowca.info/Anonymous/AllDataFeed.ashx",1,"REG.O.UNK.143"
"Saint-Louis","68.00","2014/04","ocha-ors","http://ors.ocharowca.info/Anonymous/AllDataFeed.ashx",1,"REG.O.UNK.143"
"Kaolack","0.00","2014/04","ocha-ors","http://ors.ocharowca.info/Anonymous/AllDataFeed.ashx",1,"REG.O.UNK.143"
"Fatick","42.00","2014/03","ocha-ors","http://ors.ocharowca.info/Anonymous/AllDataFeed.ashx",1,"REG.O.UNK.143"
"Kolda","63.00","2014/04","ocha-ors","http://ors.ocharowca.info/Anonymous/AllDataFeed.ashx",1,"REG.O.UNK.143"
"Louga","85.00","2014/04","ocha-ors","http://ors.ocharowca.info/Anonymous/AllDataFeed.ashx",1,"REG.O.UNK.143"
"Matam","101.00","2014/04","ocha-ors","http://ors.ocharowca.info/Anonymous/AllDataFeed.ashx",1,"REG.O.UNK.143"
"Diourbel","294.00","2014/01","ocha-ors","http://ors.ocharowca.info/Anonymous/AllDataFeed.ashx",1,"REG.O.UNK.143"
"Sédhiou","20.00","2014/04","ocha-ors","http://ors.ocharowca.info/Anonymous/AllDataFeed.ashx",1,"REG.O.UNK.143"
"Kaffrine","246.00","2014/01","ocha-ors","http://ors.ocharowca.info/Anonymous/AllDataFeed.ashx",1,"REG.O.UNK.143"
"Ziguinchor","0.00","2014/04","ocha-ors","http://ors.ocharowca.info/Anonymous/AllDataFeed.ashx",1,"REG.O.UNK.143"
"Diourbel","151.00","2014/05","ocha-ors","http://ors.ocharowca.info/Anonymous/AllDataFeed.ashx",1,"REG.O.UNK.143"
"Kolda","210.00","2014/01","ocha-ors","http://ors.ocharowca.info/Anonymous/AllDataFeed.ashx",1,"REG.O.UNK.143"
"Louga","60.00","2014/01","ocha-ors","http://ors.ocharowca.info/Anonymous/AllDataFeed.ashx",1,"REG.O.UNK.143"
"Kaffrine","35.00","2014/04","ocha-ors","http://ors.ocharowca.info/Anonymous/AllDataFeed.ashx",1,"REG.O.UNK.143"
"Saint-Louis","184.00","2014/01","ocha-ors","http://ors.ocharowca.info/Anonymous/AllDataFeed.ashx",1,"REG.O.UNK.143"
"Kédougou","29.00","2014/04","ocha-ors","http://ors.ocharowca.info/Anonymous/AllDataFeed.ashx",1,"REG.O.UNK.143"
"Diourbel","190.00","2014/02","ocha-ors","http://ors.ocharowca.info/Anonymous/AllDataFeed.ashx",1,"REG.O.UNK.143"
"Fatick","47.00","2014/02","ocha-ors","http://ors.ocharowca.info/Anonymous/AllDataFeed.ashx",1,"REG.O.UNK.143"
"Kaffrine","149.00","2014/02","ocha-ors","http://ors.ocharowca.info/Anonymous/AllDataFeed.ashx",1,"REG.O.UNK.143"
"Kaolack","0.00","2014/02","ocha-ors","http://ors.ocharowca.info/Anonymous/AllDataFeed.ashx",1,"REG.O.UNK.143"
"Kédougou","30.00","2014/02","ocha-ors","http://ors.ocharowca.info/Anonymous/AllDataFeed.ashx",1,"REG.O.UNK.143"
"Kolda","77.00","2014/02","ocha-ors","http://ors.ocharowca.info/Anonymous/AllDataFeed.ashx",1,"REG.O.UNK.143"
"Kaolack","0.00","2014/01","ocha-ors","http://ors.ocharowca.info/Anonymous/AllDataFeed.ashx",1,"REG.O.UNK.143"
"Matam","166.00","2014/02","ocha-ors","http://ors.ocharowca.info/Anonymous/AllDataFeed.ashx",1,"REG.O.UNK.143"
"Kédougou","24.00","2014/01","ocha-ors","http://ors.ocharowca.info/Anonymous/AllDataFeed.ashx",1,"REG.O.UNK.143"
"Tambacounda","78.00","2014/03","ocha-ors","http://ors.ocharowca.info/Anonymous/AllDataFeed.ashx",1,"REG.O.UNK.143"
"Diourbel","143.00","2014/04","ocha-ors","http://ors.ocharowca.info/Anonymous/AllDataFeed.ashx",1,"REG.O.UNK.143"
"Thiès","113.00","2014/02","ocha-ors","http://ors.ocharowca.info/Anonymous/AllDataFeed.ashx",1,"REG.O.UNK.143"
"Ziguinchor","0.00","2014/02","ocha-ors","http://ors.ocharowca.info/Anonymous/AllDataFeed.ashx",1,"REG.O.UNK.143"
"Sédhiou","14.00","2014/01","ocha-ors","http://ors.ocharowca.info/Anonymous/AllDataFeed.ashx",1,"REG.O.UNK.143"
"Kaffrine","99.00","2014/03","ocha-ors","http://ors.ocharowca.info/Anonymous/AllDataFeed.ashx",1,"REG.O.UNK.143"
"Thiès","162.00","2014/01","ocha-ors","http://ors.ocharowca.info/Anonymous/AllDataFeed.ashx",1,"REG.O.UNK.143"
"Kédougou","33.00","2014/03","ocha-ors","http://ors.ocharowca.info/Anonymous/AllDataFeed.ashx",1,"REG.O.UNK.143"
"Saint-Louis","159.00","2014/05","ocha-ors","http://ors.ocharowca.info/Anonymous/AllDataFeed.ashx",1,"REG.O.UNK.143"
"Fatick","95.00","2014/01","ocha-ors","http://ors.ocharowca.info/Anonymous/AllDataFeed.ashx",1,"REG.O.UNK.143"
"Tambacounda","107.00","2014/05","ocha-ors","http://ors.ocharowca.info/Anonymous/AllDataFeed.ashx",1,"REG.O.UNK.143"
"Saint-Louis","84.00","2014/03","ocha-ors","http://ors.ocharowca.info/Anonymous/AllDataFeed.ashx",1,"REG.O.UNK.143"
"Ziguinchor","0.00","2014/05","ocha-ors","http://ors.ocharowca.info/Anonymous/AllDataFeed.ashx",1,"REG.O.UNK.143"
"Diourbel","145.00","2014/03","ocha-ors","http://ors.ocharowca.info/Anonymous/AllDataFeed.ashx",1,"REG.O.UNK.143"
"Tambacounda","160.00","2014/01","ocha-ors","http://ors.ocharowca.info/Anonymous/AllDataFeed.ashx",1,"REG.O.UNK.143"
"Ziguinchor","0.00","2014/03","ocha-ors","http://ors.ocharowca.info/Anonymous/AllDataFeed.ashx",1,"REG.O.UNK.143"
"Kaolack","0.00","2014/05","ocha-ors","http://ors.ocharowca.info/Anonymous/AllDataFeed.ashx",1,"REG.O.UNK.143"
"Matam","0.00","2014/05","ocha-ors","http://ors.ocharowca.info/Anonymous/AllDataFeed.ashx",1,"REG.O.UNK.143"
"Sédhiou","0.00","2014/05","ocha-ors","http://ors.ocharowca.info/Anonymous/AllDataFeed.ashx",1,"REG.O.UNK.143"
"Kolda","40.00","2014/05","ocha-ors","http://ors.ocharowca.info/Anonymous/AllDataFeed.ashx",1,"REG.O.UNK.143"
"Ziguinchor","0.00","2014/01","ocha-ors","http://ors.ocharowca.info/Anonymous/AllDataFeed.ashx",1,"REG.O.UNK.143"
"Thiès","0.00","2014/05","ocha-ors","http://ors.ocharowca.info/Anonymous/AllDataFeed.ashx",1,"REG.O.UNK.143"
"Kédougou","22.00","2014/05","ocha-ors","http://ors.ocharowca.info/Anonymous/AllDataFeed.ashx",1,"REG.O.UNK.143"
"Louga","48.00","2014/02","ocha-ors","http://ors.ocharowca.info/Anonymous/AllDataFeed.ashx",1,"REG.O.UNK.143"
"Kaffrine","117.00","2014/05","ocha-ors","http://ors.ocharowca.info/Anonymous/AllDataFeed.ashx",1,"REG.O.UNK.143"
"Matam","253.00","2014/01","ocha-ors","http://ors.ocharowca.info/Anonymous/AllDataFeed.ashx",1,"REG.O.UNK.143"
"Louga","0.00","2014/05","ocha-ors","http://ors.ocharowca.info/Anonymous/AllDataFeed.ashx",1,"REG.O.UNK.143"
"Thiès","88.00","2014/03","ocha-ors","http://ors.ocharowca.info/Anonymous/AllDataFeed.ashx",1,"REG.O.UNK.143"
"Matam","208.00","2014/01","ocha-ors","http://ors.ocharowca.info/Anonymous/AllDataFeed.ashx",1,"REG.O.UNK.159"
"Matam","109.00","2014/04","ocha-ors","http://ors.ocharowca.info/Anonymous/AllDataFeed.ashx",1,"REG.O.UNK.159"
"Matam","86.00","2014/03","ocha-ors","http://ors.ocharowca.info/Anonymous/AllDataFeed.ashx",1,"REG.O.UNK.159"
"Matam","124.00","2014/02","ocha-ors","http://ors.ocharowca.info/Anonymous/AllDataFeed.ashx",1,"REG.O.UNK.159"
"Kaolack","0.00","2014/05","ocha-ors","http://ors.ocharowca.info/Anonymous/AllDataFeed.ashx",1,"REG.O.UNK.144"
"Diourbel","170.00","2014/04","ocha-ors","http://ors.ocharowca.info/Anonymous/AllDataFeed.ashx",1,"REG.O.UNK.144"
"Louga","33.00","2014/02","ocha-ors","http://ors.ocharowca.info/Anonymous/AllDataFeed.ashx",1,"REG.O.UNK.144"
"Ziguinchor","0.00","2014/01","ocha-ors","http://ors.ocharowca.info/Anonymous/AllDataFeed.ashx",1,"REG.O.UNK.144"
"Fatick","62.00","2014/04","ocha-ors","http://ors.ocharowca.info/Anonymous/AllDataFeed.ashx",1,"REG.O.UNK.144"
"Kaffrine","155.00","2014/02","ocha-ors","http://ors.ocharowca.info/Anonymous/AllDataFeed.ashx",1,"REG.O.UNK.144"
"Kédougou","27.00","2014/02","ocha-ors","http://ors.ocharowca.info/Anonymous/AllDataFeed.ashx",1,"REG.O.UNK.144"
"Kolda","64.00","2014/02","ocha-ors","http://ors.ocharowca.info/Anonymous/AllDataFeed.ashx",1,"REG.O.UNK.144"
"Matam","156.00","2014/03","ocha-ors","http://ors.ocharowca.info/Anonymous/AllDataFeed.ashx",1,"REG.O.UNK.144"
"Kaffrine","106.00","2014/05","ocha-ors","http://ors.ocharowca.info/Anonymous/AllDataFeed.ashx",1,"REG.O.UNK.144"
"Fatick","36.00","2014/05","ocha-ors","http://ors.ocharowca.info/Anonymous/AllDataFeed.ashx",1,"REG.O.UNK.144"
"Kolda","34.00","2014/01","ocha-ors","http://ors.ocharowca.info/Anonymous/AllDataFeed.ashx",1,"REG.O.UNK.144"
"Louga","48.00","2014/01","ocha-ors","http://ors.ocharowca.info/Anonymous/AllDataFeed.ashx",1,"REG.O.UNK.144"
"Saint-Louis","90.00","2014/03","ocha-ors","http://ors.ocharowca.info/Anonymous/AllDataFeed.ashx",1,"REG.O.UNK.144"
"Diourbel","618.00","2014/03","ocha-ors","http://ors.ocharowca.info/Anonymous/AllDataFeed.ashx",1,"REG.O.UNK.144"
"Fatick","65.00","2014/03","ocha-ors","http://ors.ocharowca.info/Anonymous/AllDataFeed.ashx",1,"REG.O.UNK.144"
"Kaffrine","148.00","2014/03","ocha-ors","http://ors.ocharowca.info/Anonymous/AllDataFeed.ashx",1,"REG.O.UNK.144"
"Kaolack","0.00","2014/03","ocha-ors","http://ors.ocharowca.info/Anonymous/AllDataFeed.ashx",1,"REG.O.UNK.144"
"Kédougou","31.00","2014/03","ocha-ors","http://ors.ocharowca.info/Anonymous/AllDataFeed.ashx",1,"REG.O.UNK.144"
"Kolda","56.00","2014/03","ocha-ors","http://ors.ocharowca.info/Anonymous/AllDataFeed.ashx",1,"REG.O.UNK.144"
"Kaolack","0.00","2014/02","ocha-ors","http://ors.ocharowca.info/Anonymous/AllDataFeed.ashx",1,"REG.O.UNK.144"
"Sédhiou","0.00","2014/05","ocha-ors","http://ors.ocharowca.info/Anonymous/AllDataFeed.ashx",1,"REG.O.UNK.144"
"Tambacounda","80.00","2014/05","ocha-ors","http://ors.ocharowca.info/Anonymous/AllDataFeed.ashx",1,"REG.O.UNK.144"
"Saint-Louis","64.00","2014/02","ocha-ors","http://ors.ocharowca.info/Anonymous/AllDataFeed.ashx",1,"REG.O.UNK.144"
"Ziguinchor","0.00","2014/05","ocha-ors","http://ors.ocharowca.info/Anonymous/AllDataFeed.ashx",1,"REG.O.UNK.144"
"Sédhiou","6.00","2014/02","ocha-ors","http://ors.ocharowca.info/Anonymous/AllDataFeed.ashx",1,"REG.O.UNK.144"
"Matam","259.00","2014/01","ocha-ors","http://ors.ocharowca.info/Anonymous/AllDataFeed.ashx",1,"REG.O.UNK.144"
"Saint-Louis","143.00","2014/01","ocha-ors","http://ors.ocharowca.info/Anonymous/AllDataFeed.ashx",1,"REG.O.UNK.144"
"Kaolack","0.00","2014/04","ocha-ors","http://ors.ocharowca.info/Anonymous/AllDataFeed.ashx",1,"REG.O.UNK.144"
"Diourbel","275.00","2014/02","ocha-ors","http://ors.ocharowca.info/Anonymous/AllDataFeed.ashx",1,"REG.O.UNK.144"
"Thiès","123.00","2014/01","ocha-ors","http://ors.ocharowca.info/Anonymous/AllDataFeed.ashx",1,"REG.O.UNK.144"
"Fatick","59.00","2014/02","ocha-ors","http://ors.ocharowca.info/Anonymous/AllDataFeed.ashx",1,"REG.O.UNK.144"
"Matam","0.00","2014/05","ocha-ors","http://ors.ocharowca.info/Anonymous/AllDataFeed.ashx",1,"REG.O.UNK.144"
"Diourbel","558.00","2014/01","ocha-ors","http://ors.ocharowca.info/Anonymous/AllDataFeed.ashx",1,"REG.O.UNK.144"
"Louga","32.00","2014/03","ocha-ors","http://ors.ocharowca.info/Anonymous/AllDataFeed.ashx",1,"REG.O.UNK.144"
"Kaffrine","115.00","2014/01","ocha-ors","http://ors.ocharowca.info/Anonymous/AllDataFeed.ashx",1,"REG.O.UNK.144"
"Matam","205.00","2014/02","ocha-ors","http://ors.ocharowca.info/Anonymous/AllDataFeed.ashx",1,"REG.O.UNK.144"
"Sédhiou","25.00","2014/03","ocha-ors","http://ors.ocharowca.info/Anonymous/AllDataFeed.ashx",1,"REG.O.UNK.144"
"Tambacounda","62.00","2014/03","ocha-ors","http://ors.ocharowca.info/Anonymous/AllDataFeed.ashx",1,"REG.O.UNK.144"
"Thiès","129.00","2014/03","ocha-ors","http://ors.ocharowca.info/Anonymous/AllDataFeed.ashx",1,"REG.O.UNK.144"
"Thiès","101.00","2014/02","ocha-ors","http://ors.ocharowca.info/Anonymous/AllDataFeed.ashx",1,"REG.O.UNK.144"
"Ziguinchor","0.00","2014/03","ocha-ors","http://ors.ocharowca.info/Anonymous/AllDataFeed.ashx",1,"REG.O.UNK.144"
"Sédhiou","12.00","2014/01","ocha-ors","http://ors.ocharowca.info/Anonymous/AllDataFeed.ashx",1,"REG.O.UNK.144"
"Tambacounda","131.00","2014/01","ocha-ors","http://ors.ocharowca.info/Anonymous/AllDataFeed.ashx",1,"REG.O.UNK.144"
"Kolda","67.00","2014/05","ocha-ors","http://ors.ocharowca.info/Anonymous/AllDataFeed.ashx",1,"REG.O.UNK.144"
"Louga","0.00","2014/05","ocha-ors","http://ors.ocharowca.info/Anonymous/AllDataFeed.ashx",1,"REG.O.UNK.144"
"Louga","101.00","2014/04","ocha-ors","http://ors.ocharowca.info/Anonymous/AllDataFeed.ashx",1,"REG.O.UNK.144"
"Fatick","66.00","2014/01","ocha-ors","http://ors.ocharowca.info/Anonymous/AllDataFeed.ashx",1,"REG.O.UNK.144"
"Saint-Louis","64.00","2014/04","ocha-ors","http://ors.ocharowca.info/Anonymous/AllDataFeed.ashx",1,"REG.O.UNK.144"
"Sédhiou","25.00","2014/04","ocha-ors","http://ors.ocharowca.info/Anonymous/AllDataFeed.ashx",1,"REG.O.UNK.144"
"Kédougou","8.00","2014/01","ocha-ors","http://ors.ocharowca.info/Anonymous/AllDataFeed.ashx",1,"REG.O.UNK.144"
"Ziguinchor","0.00","2014/04","ocha-ors","http://ors.ocharowca.info/Anonymous/AllDataFeed.ashx",1,"REG.O.UNK.144"
"Diourbel","124.00","2014/05","ocha-ors","http://ors.ocharowca.info/Anonymous/AllDataFeed.ashx",1,"REG.O.UNK.144"
"Tambacounda","184.00","2014/02","ocha-ors","http://ors.ocharowca.info/Anonymous/AllDataFeed.ashx",1,"REG.O.UNK.144"
"Kolda","41.00","2014/04","ocha-ors","http://ors.ocharowca.info/Anonymous/AllDataFeed.ashx",1,"REG.O.UNK.144"
